,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
474,1970,2013 - 19th Annual,FEMALE SUPPORTING ROLE,MAGGIE SMITH,THE BEST EXOTIC MARIGOLD HOTEL,FALSE,TRUE,White
475,2245,2012 - 18th Annual,FEMALE TV MOVIE OR MINISERIES,MAGGIE SMITH,DOWNTON ABBEY,FALSE,TRUE,White
476,1118,2016 - 22nd Annual,FEMALE DRAMA,CLAIRE DANES,HOMELAND,FALSE,TRUE,White
477,1402,2015 - 21st Annual,FEMALE ACTOR IN A DRAMA SERIES,CLAIRE DANES,HOMELAND,FALSE,TRUE,White
478,1692,2014 - 20th Annual,FEMALE DRAMA SERIES,CLAIRE DANES,HOMELAND,FALSE,TRUE,White
479,1961,2013 - 19th Annual,FEMALE DRAMA SERIES,CLAIRE DANES,HOMELAND,TRUE,TRUE,White
480,2470,2011 - 17th Annual,FEMALE TV MOVIE OR MINISERIES,CLAIRE DANES,TEMPLE GRANDIN,TRUE,TRUE,White
481,1121,2016 - 22nd Annual,FEMALE DRAMA,JULIANNA MARGULIES,THE GOOD WIFE,FALSE,TRUE,White
482,1406,2015 - 21st Annual,FEMALE ACTOR IN A DRAMA SERIES,JULIANNA MARGULIES,THE GOOD WIFE,FALSE,TRUE,White
483,1962,2013 - 19th Annual,FEMALE DRAMA SERIES,JULIANNA MARGULIES,THE GOOD WIFE,FALSE,TRUE,White
484,2232,2012 - 18th Annual,FEMALE DRAMA SERIES,JULIANNA MARGULIES,THE GOOD WIFE,FALSE,TRUE,White
485,2458,2011 - 17th Annual,FEMALE DRAMA SERIES,JULIANNA MARGULIES,THE GOOD WIFE,TRUE,TRUE,White
486,2698,2010 - 16th Annual,FEMALE DRAMA SERIES,JULIANNA MARGULIES,THE GOOD WIFE,TRUE,TRUE,White
487,5012,1999 - 5th Annual,FEMALE DRAMA SERIES,JULIANNA MARGULIES,ER,TRUE,TRUE,White
488,5193,1998 - 4th Annual,FEMALE DRAMA SERIES,JULIANNA MARGULIES,ER,TRUE,TRUE,White
489,5546,1996 - 2nd Annual,FEMALE DRAMA SERIES,JULIANNA MARGULIES,ER,FALSE,TRUE,White
490,1123,2016 - 22nd Annual,FEMALE LEAD,CATE BLANCHETT,CAROL,FALSE,TRUE,White
491,1695,2014 - 20th Annual,FEMALE LEAD ROLE,CATE BLANCHETT,BLUE JASMINE,TRUE,TRUE,White
492,3211,2008 - 14th Annual,FEMALE LEAD ROLE,CATE BLANCHETT,ELIZABETH: THE GOLDEN AGE,FALSE,TRUE,White
493,3216,2008 - 14th Annual,FEMALE SUPPORTING ROLE,CATE BLANCHETT,I'M NOT THERE,FALSE,TRUE,White
