,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,percent_white,percent_black,percent_asian,percent_hispanic,percent_other
3253,tt1247662,The Good Guy,The Good Guy,2009,2010-02-19,"Comedy, Romance",90,USA,English,Julio DePietro,Julio DePietro,Belladonna Productions,"Alexis Bledel, Scott Porter, Bryan Greenberg, Colin Egglesfield, Aaron Yoo, Andrew Stewart-Jones, Eric Thal, Andrew McCarthy, Sarah Glendening, Ursula Abbott, Kathy Searle, Anna Chlumsky, Jessalyn Wanlim, Ed Wheeler, Michael Simeoni","Calm and quiet Daniel starts on Wall Street. His womanizing colleague, Tommy, encourages him to meet women. He unknowingly meets Tommy's girlfriend, Beth, and ends up in her 5 women book club. Will he find the woman?",5.8,9063,$ 10000000,$ 100688,$ 100688,47.0,26.0,23.0,0.8666666666666667,0.0,0.06666666666666668,0.06666666666666668,0.0
3254,tt1250777,Kick-Ass,Kick-Ass,2010,2011-04-01,"Action, Comedy, Crime",117,"UK, USA, China",English,Matthew Vaughn,"Jane Goldman, Matthew Vaughn",Marv Films,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss, Lyndsy Fonseca, Sophie Wu, Elizabeth McGovern, Christopher Mintz-Plasse, Stu 'Large' Riley, Johnny Hopkins, Ohene Cornelius, Mark Strong, Michael Rispoli, Corey Johnson, Kenneth Simmons","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",7.6,517708,$ 30000000,$ 48071303,$ 96188903,66.0,843.0,467.0,0.8,0.06666666666666668,0.06666666666666668,0.0,0.06666666666666668
3255,tt1251743,Salvation Boulevard,Salvation Boulevard,2011,2011-07-15,"Comedy, Crime, Drama",96,USA,English,George Ratliff,"Douglas Stone, George Ratliff",Mandalay Vision,"Jennifer Connelly, Greg Kinnear, Pierce Brosnan, Ed Harris, Jan Radcliff, Ciarán Hinds, Jim Gaffigan, Marisa Tomei, Isabelle Fuhrman, Mary Callaghan Lynch, Cree Kelly, Randy Ryan, Mike Eshaq, Julia Glander, Michael Maurice",Set in the world of mega-churches in which a former Deadhead-turned-born again-Christian finds himself on the run from fundamentalist members of his mega-church who will do anything to protect their larger-than-life pastor.,5.3,4377,$ 5500000,$ 28468,$ 89182,35.0,33.0,45.0,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0
3256,tt1252289,4 padri single,Four Single Fathers,2009,2009-01-15,Comedy,100,"Italy, USA","Italian, English",Paolo Monico,"Craig Carlisle, Gabriele Muccino",Indiana Production,"Alessandro Gassmann, Jeanine Bartel, Joe Urla, Francesco Quinn, Salvatore Santone, Rachel Dolan, Lenny Venito, Mary Testa, Dossy Peabody, Lisa Yuen, Stephanie Szostak, Michael Mosley, Sarah Rafferty, Will Chase, Margot White","A comedy/drama about four Italian single fathers trying to cope with American ex-wives, children, family, and new relationships, set in New York and Rome.",5.4,150,$ 3000000,,,,2.0,2.0,0.9333333333333332,0.0,0.0,0.0,0.06666666666666668
3257,tt1253863,300 - L'alba di un impero,300: Rise of an Empire,2014,2014-03-06,"Action, Drama",102,USA,English,Noam Murro,"Zack Snyder, Kurt Johnstad",Warner Bros.,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Callan Mulvey, David Wenham, Rodrigo Santoro, Jack O'Connell, Andrew Tiernan, Igal Naor, Andrew Pleavin, Peter Mensah, Ben Turner, Ashraf Barhom, Christopher Sciueref","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",6.2,276636,$ 110000000,$ 106580051,$ 337580051,48.0,583.0,386.0,0.8,0.13333333333333333,0.06666666666666668,0.0,0.0
3258,tt1253864,Immortals,Immortals,2011,2011-11-11,"Action, Drama, Fantasy",110,"USA, Canada, UK","English, Greek",Tarsem Singh,"Charley Parlapanides, Vlas Parlapanides",Relativity Media,"Henry Cavill, Mickey Rourke, Stephen Dorff, Freida Pinto, Luke Evans, John Hurt, Joseph Morgan, Anne Day-Jones, Greg Bryk, Alan Van Sprang, Peter Stebbings, Daniel Sharman, Isabel Lucas, Kellan Lutz, Steve Byers","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",6.0,158793,$ 75000000,$ 83504017,$ 226904017,46.0,435.0,290.0,0.9333333333333332,0.0,0.06666666666666668,0.0,0.0
3259,tt1255953,La donna che canta,Incendies,2010,2011-01-21,"Drama, Mystery, War",131,"Canada, France","French, Arabic, English",Denis Villeneuve,"Denis Villeneuve, Wajdi Mouawad",micro_scope,"Mustafa Kamel, Hussein Sami, Rémy Girard, Mélissa Désormeaux-Poulin, Maxim Gaudette, Dominique Briand, Lubna Azabal, Frédéric Paquet, Hamed Najem, Ahmad Massad, Bader Alami, Majida Hussein, Asriah Nijres, John Dunn-Hill, Nadia Essadiqi",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,8.3,142557,$ 6800000,$ 2071334,$ 7099598,80.0,250.0,243.0,0.7333333333333333,0.06666666666666668,0.0,0.0,0.2
3260,tt1258197,Exam,Exam,2009,2010-06-17,"Mystery, Thriller",101,UK,"English, French, Cantonese",Stuart Hazeldine,"Stuart Hazeldine, Simon Garrity",Hazeldine Films,"Adar Beck, Gemma Chan, Nathalie Cox, John Lloyd Fillingham, Chukwudi Iwuji, Pollyanna McIntosh, Luke Mably, Jimi Mistry, Colin Salmon, Chris Carey","Eight candidates for a highly desirable corporate job are locked together in an exam room and given a final test with just one seemingly simple question. However, it doesn't take long for confusion to ensue and tensions to unravel.",6.8,103021,,,$ 394717,,183.0,81.0,0.6,0.1,0.1,0.0,0.2
3261,tt1258972,L'uomo con i pugni di ferro,The Man with the Iron Fists,2012,2013-05-09,Action,95,"USA, Hong Kong","English, Mandarin",RZA,"RZA, RZA",Arcade Pictures,"RZA, Rick Yune, Russell Crowe, Lucy Liu, Dave Bautista, Jamie Chung, Cung Le, Byron Mann, Daniel Wu, Zhu Zhu, Chia-Hui Liu, Andrew Ng, Kuan Tai Chen, Yoyao Hsueh, Telly Liu","On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",5.4,59920,$ 15000000,$ 15634090,$ 20546518,51.0,254.0,218.0,0.4,0.06666666666666668,0.4666666666666667,0.0,0.06666666666666668
3262,tt1259571,The Twilight Saga: New Moon,The Twilight Saga: New Moon,2009,2009-11-18,"Adventure, Drama, Fantasy",130,USA,"English, Italian",Chris Weitz,"Melissa Rosenberg, Stephenie Meyer",Temple Hill Entertainment,"Kristen Stewart, Christina Jastrzembska, Robert Pattinson, Billy Burke, Anna Kendrick, Michael Welch, Justin Chon, Christian Serratos, Taylor Lautner, Ashley Greene, Jackson Rathbone, Russell Roberts, Cam Gigandet, Michael Sheen, Jamie Campbell Bower","Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",4.7,260695,$ 50000000,$ 297816253,$ 711025481,44.0,960.0,306.0,0.8666666666666667,0.06666666666666668,0.0,0.0,0.06666666666666668
3263,tt1261945,Sex and the City 2,Sex and the City 2,2010,2010-05-28,"Comedy, Drama, Romance",146,USA,"English, Arabic",Michael Patrick King,"Michael Patrick King, Candace Bushnell",New Line Cinema,"Sarah Jessica Parker, Kristin Davis, Cynthia Nixon, Kim Cattrall, Minglie Chen, Chris Noth, David Eigenberg, Evan Handler, Alexandra Fong, Parker Fong, Mario Cantone, Willie Garson, Noah Mills, Liza Minnelli, Billy Stritch","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",4.5,72948,$ 100000000,$ 95347692,$ 290745055,27.0,329.0,223.0,0.8,0.0,0.2,0.0,0.0
