year_film,year_ceremony,ceremony,category,name,film,winner,race
1941,1942,14,ACTOR IN A LEADING ROLE,Gary Cooper,Sergeant York,TRUE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Cary Grant,Penny Serenade,FALSE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Walter Huston,All That Money Can Buy,FALSE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Robert Montgomery,Here Comes Mr. Jordan,FALSE,white
1941,1942,14,ACTOR IN A LEADING ROLE,Orson Welles,Citizen Kane,FALSE,white
1942,1943,15,ACTOR IN A LEADING ROLE,James Cagney,Yankee Doodle Dandy,TRUE,white
1942,1943,15,ACTOR IN A LEADING ROLE,Ronald Colman,Random Harvest,FALSE,white
1942,1943,15,ACTOR IN A LEADING ROLE,Gary Cooper,The Pride of the Yankees,FALSE,white
1942,1943,15,ACTOR IN A LEADING ROLE,Walter Pidgeon,Mrs. Miniver,FALSE,white
1942,1943,15,ACTOR IN A LEADING ROLE,Monty Woolley,The Pied Piper,FALSE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Humphrey Bogart,Casablanca,FALSE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Gary Cooper,For Whom the Bell Tolls,FALSE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Paul Lukas,Watch on the Rhine,TRUE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Walter Pidgeon,Madame Curie,FALSE,white
1943,1944,16,ACTOR IN A LEADING ROLE,Mickey Rooney,The Human Comedy,FALSE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Charles Boyer,Gaslight,FALSE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Bing Crosby,Going My Way,TRUE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Barry Fitzgerald,Going My Way,FALSE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Cary Grant,None but the Lonely Heart,FALSE,white
1944,1945,17,ACTOR IN A LEADING ROLE,Alexander Knox,Wilson,FALSE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Bing Crosby,The Bells of St. Mary's,FALSE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Gene Kelly,Anchors Aweigh,FALSE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Ray Milland,The Lost Weekend,TRUE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Gregory Peck,The Keys of the Kingdom,FALSE,white
1945,1946,18,ACTOR IN A LEADING ROLE,Cornel Wilde,A Song to Remember,FALSE,white
1946,1947,19,ACTOR IN A LEADING ROLE,Fredric March,The Best Years of Our Lives,TRUE,white
1946,1947,19,ACTOR IN A LEADING ROLE,Laurence Olivier,Henry V,FALSE,white
1946,1947,19,ACTOR IN A LEADING ROLE,Larry Parks,The Jolson Story,FALSE,white
1946,1947,19,ACTOR IN A LEADING ROLE,Gregory Peck,The Yearling,FALSE,white
1946,1947,19,ACTOR IN A LEADING ROLE,James Stewart,It's a Wonderful Life,FALSE,white
1947,1948,20,ACTOR IN A LEADING ROLE,Ronald Colman,A Double Life,TRUE,white
1947,1948,20,ACTOR IN A LEADING ROLE,John Garfield,Body and Soul,FALSE,white
1947,1948,20,ACTOR IN A LEADING ROLE,Gregory Peck,Gentleman's Agreement,FALSE,white
1947,1948,20,ACTOR IN A LEADING ROLE,William Powell,Life with Father,FALSE,white
1947,1948,20,ACTOR IN A LEADING ROLE,Michael Redgrave,Mourning Becomes Electra,FALSE,white
1948,1949,21,ACTOR IN A LEADING ROLE,Lew Ayres,Johnny Belinda,FALSE,white
1948,1949,21,ACTOR IN A LEADING ROLE,Montgomery Clift,The Search,FALSE,white
1948,1949,21,ACTOR IN A LEADING ROLE,Dan Dailey,When My Baby Smiles at Me,FALSE,white
1948,1949,21,ACTOR IN A LEADING ROLE,Laurence Olivier,Hamlet,TRUE,white
1948,1949,21,ACTOR IN A LEADING ROLE,Clifton Webb,Sitting Pretty,FALSE,white
1949,1950,22,ACTOR IN A LEADING ROLE,Broderick Crawford,All the King's Men,TRUE,white
1949,1950,22,ACTOR IN A LEADING ROLE,Kirk Douglas,Champion,FALSE,white
1949,1950,22,ACTOR IN A LEADING ROLE,Gregory Peck,Twelve O'Clock High,FALSE,white
1949,1950,22,ACTOR IN A LEADING ROLE,Richard Todd,The Hasty Heart,FALSE,white
1949,1950,22,ACTOR IN A LEADING ROLE,John Wayne,Sands of Iwo Jima,FALSE,white
1950,1951,23,ACTOR IN A LEADING ROLE,Louis Calhern,The Magnificent Yankee,FALSE,white
1950,1951,23,ACTOR IN A LEADING ROLE,José Ferrer,Cyrano de Bergerac,TRUE,hispanic
1950,1951,23,ACTOR IN A LEADING ROLE,William Holden,Sunset Blvd.,FALSE,white
1950,1951,23,ACTOR IN A LEADING ROLE,James Stewart,Harvey,FALSE,white
1950,1951,23,ACTOR IN A LEADING ROLE,Spencer Tracy,Father of the Bride,FALSE,white
1951,1952,24,ACTOR IN A LEADING ROLE,Humphrey Bogart,The African Queen,TRUE,white
1951,1952,24,ACTOR IN A LEADING ROLE,Marlon Brando,A Streetcar Named Desire,FALSE,white
1951,1952,24,ACTOR IN A LEADING ROLE,Montgomery Clift,A Place in the Sun,FALSE,white
1951,1952,24,ACTOR IN A LEADING ROLE,Arthur Kennedy,Bright Victory,FALSE,white
1951,1952,24,ACTOR IN A LEADING ROLE,Fredric March,Death of a Salesman,FALSE,white
1952,1953,25,ACTOR IN A LEADING ROLE,Marlon Brando,Viva Zapata!,FALSE,white
1952,1953,25,ACTOR IN A LEADING ROLE,Gary Cooper,High Noon,TRUE,white
1952,1953,25,ACTOR IN A LEADING ROLE,Kirk Douglas,The Bad and the Beautiful,FALSE,white
1952,1953,25,ACTOR IN A LEADING ROLE,José Ferrer,Moulin Rouge,FALSE,hispanic
1952,1953,25,ACTOR IN A LEADING ROLE,Alec Guinness,The Lavender Hill Mob,FALSE,white
1953,1954,26,ACTOR IN A LEADING ROLE,Marlon Brando,Julius Caesar,FALSE,white
1953,1954,26,ACTOR IN A LEADING ROLE,Richard Burton,The Robe,FALSE,white
1953,1954,26,ACTOR IN A LEADING ROLE,Montgomery Clift,From Here to Eternity,FALSE,white
1953,1954,26,ACTOR IN A LEADING ROLE,William Holden,Stalag 17,TRUE,white
1953,1954,26,ACTOR IN A LEADING ROLE,Burt Lancaster,From Here to Eternity,FALSE,white
1954,1955,27,ACTOR IN A LEADING ROLE,Humphrey Bogart,The Caine Mutiny,FALSE,white
1954,1955,27,ACTOR IN A LEADING ROLE,Marlon Brando,On the Waterfront,TRUE,white
1954,1955,27,ACTOR IN A LEADING ROLE,Bing Crosby,The Country Girl,FALSE,white
1954,1955,27,ACTOR IN A LEADING ROLE,James Mason,A Star Is Born,FALSE,white
1954,1955,27,ACTOR IN A LEADING ROLE,Dan O'Herlihy,Adventures of Robinson Crusoe,FALSE,white
1955,1956,28,ACTOR IN A LEADING ROLE,Ernest Borgnine,Marty,TRUE,white
1955,1956,28,ACTOR IN A LEADING ROLE,James Cagney,Love Me or Leave Me,FALSE,white
1955,1956,28,ACTOR IN A LEADING ROLE,James Dean,East of Eden,FALSE,white
1955,1956,28,ACTOR IN A LEADING ROLE,Frank Sinatra,The Man with the Golden Arm,FALSE,white
1955,1956,28,ACTOR IN A LEADING ROLE,Spencer Tracy,Bad Day at Black Rock,FALSE,white
1956,1957,29,ACTOR IN A LEADING ROLE,Yul Brynner,The King and I,TRUE,asian
1956,1957,29,ACTOR IN A LEADING ROLE,James Dean,Giant,FALSE,white
1956,1957,29,ACTOR IN A LEADING ROLE,Kirk Douglas,Lust for Life,FALSE,white
1956,1957,29,ACTOR IN A LEADING ROLE,Rock Hudson,Giant,FALSE,white
1956,1957,29,ACTOR IN A LEADING ROLE,Sir Laurence Olivier,Richard III,FALSE,white
1957,1958,30,ACTOR IN A LEADING ROLE,Marlon Brando,Sayonara,FALSE,white
1957,1958,30,ACTOR IN A LEADING ROLE,Anthony Franciosa,A Hatful of Rain,FALSE,white
1957,1958,30,ACTOR IN A LEADING ROLE,Alec Guinness,The Bridge on the River Kwai,TRUE,white
1957,1958,30,ACTOR IN A LEADING ROLE,Charles Laughton,Witness for the Prosecution,FALSE,white
1957,1958,30,ACTOR IN A LEADING ROLE,Anthony Quinn,Wild Is the Wind,FALSE,hispanic
1958,1959,31,ACTOR IN A LEADING ROLE,Tony Curtis,The Defiant Ones,FALSE,white
1958,1959,31,ACTOR IN A LEADING ROLE,Paul Newman,Cat on a Hot Tin Roof,FALSE,white
1958,1959,31,ACTOR IN A LEADING ROLE,David Niven,Separate Tables,TRUE,white
1958,1959,31,ACTOR IN A LEADING ROLE,Sidney Poitier,The Defiant Ones,FALSE,black
1958,1959,31,ACTOR IN A LEADING ROLE,Spencer Tracy,The Old Man and the Sea,FALSE,white
1959,1960,32,ACTOR IN A LEADING ROLE,Laurence Harvey,Room at the Top,FALSE,white
1959,1960,32,ACTOR IN A LEADING ROLE,Charlton Heston,Ben-Hur,TRUE,white
1959,1960,32,ACTOR IN A LEADING ROLE,Jack Lemmon,Some Like It Hot,FALSE,white
1959,1960,32,ACTOR IN A LEADING ROLE,Paul Muni,The Last Angry Man,FALSE,white
1959,1960,32,ACTOR IN A LEADING ROLE,James Stewart,Anatomy of a Murder,FALSE,white
1960,1961,33,ACTOR IN A LEADING ROLE,Trevor Howard,Sons and Lovers,FALSE,white
1960,1961,33,ACTOR IN A LEADING ROLE,Burt Lancaster,Elmer Gantry,TRUE,white
1960,1961,33,ACTOR IN A LEADING ROLE,Jack Lemmon,The Apartment,FALSE,white
