id,year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
52,1940,1941,13,ACTOR IN A LEADING ROLE,Charles Chaplin,The Great Dictator,FALSE,white,white
53,1940,1941,13,ACTOR IN A LEADING ROLE,Henry Fonda,The Grapes of Wrath,FALSE,white,white
54,1940,1941,13,ACTOR IN A LEADING ROLE,Raymond Massey,Abe Lincoln in Illinois,FALSE,white,white
55,1940,1941,13,ACTOR IN A LEADING ROLE,Laurence Olivier,Rebecca,FALSE,white,white
56,1940,1941,13,ACTOR IN A LEADING ROLE,James Stewart,The Philadelphia Story,TRUE,white,white
57,1941,1942,14,ACTOR IN A LEADING ROLE,Gary Cooper,Sergeant York,TRUE,white,white
58,1941,1942,14,ACTOR IN A LEADING ROLE,Cary Grant,Penny Serenade,FALSE,white,white
59,1941,1942,14,ACTOR IN A LEADING ROLE,Walter Huston,All That Money Can Buy,FALSE,white,white
60,1941,1942,14,ACTOR IN A LEADING ROLE,Robert Montgomery,Here Comes Mr. Jordan,FALSE,white,white
61,1941,1942,14,ACTOR IN A LEADING ROLE,Orson Welles,Citizen Kane,FALSE,white,white
62,1942,1943,15,ACTOR IN A LEADING ROLE,James Cagney,Yankee Doodle Dandy,TRUE,white,white
63,1942,1943,15,ACTOR IN A LEADING ROLE,Ronald Colman,Random Harvest,FALSE,white,white
64,1942,1943,15,ACTOR IN A LEADING ROLE,Gary Cooper,The Pride of the Yankees,FALSE,white,white
65,1942,1943,15,ACTOR IN A LEADING ROLE,Walter Pidgeon,Mrs. Miniver,FALSE,white,white
66,1942,1943,15,ACTOR IN A LEADING ROLE,Monty Woolley,The Pied Piper,FALSE,white,white
67,1943,1944,16,ACTOR IN A LEADING ROLE,Humphrey Bogart,Casablanca,FALSE,white,white
68,1943,1944,16,ACTOR IN A LEADING ROLE,Gary Cooper,For Whom the Bell Tolls,FALSE,white,white
69,1943,1944,16,ACTOR IN A LEADING ROLE,Paul Lukas,Watch on the Rhine,TRUE,white,white
70,1943,1944,16,ACTOR IN A LEADING ROLE,Walter Pidgeon,Madame Curie,FALSE,white,white
71,1943,1944,16,ACTOR IN A LEADING ROLE,Mickey Rooney,The Human Comedy,FALSE,white,white
72,1944,1945,17,ACTOR IN A LEADING ROLE,Charles Boyer,Gaslight,FALSE,white,white
73,1944,1945,17,ACTOR IN A LEADING ROLE,Bing Crosby,Going My Way,TRUE,white,white
74,1944,1945,17,ACTOR IN A LEADING ROLE,Barry Fitzgerald,Going My Way,FALSE,white,white
75,1944,1945,17,ACTOR IN A LEADING ROLE,Cary Grant,None but the Lonely Heart,FALSE,white,white
76,1944,1945,17,ACTOR IN A LEADING ROLE,Alexander Knox,Wilson,FALSE,white,white
77,1945,1946,18,ACTOR IN A LEADING ROLE,Bing Crosby,The Bells of St. Mary's,FALSE,white,white
78,1945,1946,18,ACTOR IN A LEADING ROLE,Gene Kelly,Anchors Aweigh,FALSE,white,white
79,1945,1946,18,ACTOR IN A LEADING ROLE,Ray Milland,The Lost Weekend,TRUE,white,white
80,1945,1946,18,ACTOR IN A LEADING ROLE,Gregory Peck,The Keys of the Kingdom,FALSE,white,white
81,1945,1946,18,ACTOR IN A LEADING ROLE,Cornel Wilde,A Song to Remember,FALSE,white,white
82,1946,1947,19,ACTOR IN A LEADING ROLE,Fredric March,The Best Years of Our Lives,TRUE,white,white
83,1946,1947,19,ACTOR IN A LEADING ROLE,Laurence Olivier,Henry V,FALSE,white,white
84,1946,1947,19,ACTOR IN A LEADING ROLE,Larry Parks,The Jolson Story,FALSE,white,white
85,1946,1947,19,ACTOR IN A LEADING ROLE,Gregory Peck,The Yearling,FALSE,white,white
86,1946,1947,19,ACTOR IN A LEADING ROLE,James Stewart,It's a Wonderful Life,FALSE,white,white
87,1947,1948,20,ACTOR IN A LEADING ROLE,Ronald Colman,A Double Life,TRUE,white,white
88,1947,1948,20,ACTOR IN A LEADING ROLE,John Garfield,Body and Soul,FALSE,white,white
89,1947,1948,20,ACTOR IN A LEADING ROLE,Gregory Peck,Gentleman's Agreement,FALSE,white,white
90,1947,1948,20,ACTOR IN A LEADING ROLE,William Powell,Life with Father,FALSE,white,white
91,1947,1948,20,ACTOR IN A LEADING ROLE,Michael Redgrave,Mourning Becomes Electra,FALSE,white,white
92,1948,1949,21,ACTOR IN A LEADING ROLE,Lew Ayres,Johnny Belinda,FALSE,white,white
93,1948,1949,21,ACTOR IN A LEADING ROLE,Montgomery Clift,The Search,FALSE,white,white
94,1948,1949,21,ACTOR IN A LEADING ROLE,Dan Dailey,When My Baby Smiles at Me,FALSE,white,white
95,1948,1949,21,ACTOR IN A LEADING ROLE,Laurence Olivier,Hamlet,TRUE,white,white
96,1948,1949,21,ACTOR IN A LEADING ROLE,Clifton Webb,Sitting Pretty,FALSE,white,white
97,1949,1950,22,ACTOR IN A LEADING ROLE,Broderick Crawford,All the King's Men,TRUE,white,white
98,1949,1950,22,ACTOR IN A LEADING ROLE,Kirk Douglas,Champion,FALSE,white,white
