,Unnamed: 0,year_film,year_award,ceremony,category,nominee,film,win,single_award,race
2358,4474,1992,1993,50,Best Performance by an Actor in a Motion Picture - Drama,Tom Cruise,"Few Good Men, A",False,True,White
2359,4982,1996,1997,54,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Cruise,Jerry Maguire,True,True,White
2360,5369,1999,2000,57,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Cruise,Magnolia,True,True,White
2361,5867,2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Tom Cruise,The Last Samurai,False,True,White
2362,6513,2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Cruise,Tropic Thunder,False,True,White
2363,3348,1983,1984,41,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mandy Patinkin,Yentl,False,True,White
2364,4803,1994,1995,52,Best Performance by an Actor In A Television Series - Drama,Mandy Patinkin,Chicago Hope,False,True,White
2365,7105,2012,2013,70,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Mandy Patinkin,Homeland,False,True,White
2366,3352,1983,1984,41,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tess Harper,Tender Mercies,False,True,White
2367,3353,1983,1984,41,Best Performance by an Actress in a Supporting Role in any Motion Picture,Linda Hunt,"Year of Living Dangerously, The",False,True,White
2368,3354,1983,1984,41,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joanna Pacula,Gorky Park,False,True,White
2369,3358,1983,1984,41,Best Performance by an Actor in a Supporting Role in any Motion Picture,Kurt Russell,Silkwood,False,True,White
2370,3359,1983,1984,41,Best Performance by an Actor in a Supporting Role in any Motion Picture,Steven Bauer,Scarface,False,True,Hispanic
2371,4297,1990,1991,48,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Steven Bauer,Drug Wars: The Camarena Story,False,True,Hispanic
