year_ceremony,fixed_race,count,award,pct_race
1995,other,2,golden globes,0.02666666666666667
1995,white,66,golden globes,0.88
1996,black,2,golden globes,0.028169014084507043
1996,hispanic,2,golden globes,0.028169014084507043
1996,white,67,golden globes,0.9436619718309859
1997,black,4,golden globes,0.05555555555555555
1997,hispanic,3,golden globes,0.041666666666666664
1997,white,65,golden globes,0.9027777777777778
1998,black,7,golden globes,0.0958904109589041
1998,hispanic,1,golden globes,0.0136986301369863
1998,other,1,golden globes,0.0136986301369863
1998,white,64,golden globes,0.8767123287671232
1999,black,1,golden globes,0.0136986301369863
1999,hispanic,2,golden globes,0.0273972602739726
1999,white,70,golden globes,0.958904109589041
2000,black,2,golden globes,0.02666666666666667
2000,other,1,golden globes,0.013333333333333334
2000,white,72,golden globes,0.96
2001,black,2,golden globes,0.02702702702702703
2001,hispanic,3,golden globes,0.04054054054054054
2001,white,69,golden globes,0.9324324324324325
2002,black,2,golden globes,0.02702702702702703
2002,other,3,golden globes,0.04054054054054054
2002,white,69,golden globes,0.9324324324324325
2003,asian,1,golden globes,0.013513513513513514
2003,black,3,golden globes,0.04054054054054054
2003,hispanic,1,golden globes,0.013513513513513514
2003,white,69,golden globes,0.9324324324324325
2004,asian,2,golden globes,0.0273972602739726
2004,black,2,golden globes,0.0273972602739726
2004,hispanic,1,golden globes,0.0136986301369863
2004,other,1,golden globes,0.0136986301369863
2004,white,67,golden globes,0.9178082191780822
2005,asian,1,golden globes,0.014084507042253521
2005,black,6,golden globes,0.08450704225352113
2005,hispanic,1,golden globes,0.014084507042253521
2005,white,63,golden globes,0.8873239436619719
2006,asian,3,golden globes,0.04225352112676056
2006,black,3,golden globes,0.04225352112676056
2006,hispanic,1,golden globes,0.014084507042253521
2006,other,2,golden globes,0.028169014084507043
2006,white,62,golden globes,0.8732394366197183
2007,asian,3,golden globes,0.041666666666666664
2007,black,9,golden globes,0.125
2007,hispanic,3,golden globes,0.041666666666666664
2007,other,2,golden globes,0.027777777777777776
2007,white,55,golden globes,0.7638888888888888
2008,black,2,golden globes,0.02702702702702703
2008,hispanic,2,golden globes,0.02702702702702703
2008,other,1,golden globes,0.013513513513513514
2008,white,69,golden globes,0.9324324324324325
2009,asian,1,golden globes,0.014285714285714285
2009,black,2,golden globes,0.02857142857142857
2009,hispanic,3,golden globes,0.04285714285714286
2009,white,64,golden globes,0.9142857142857143
2010,black,4,golden globes,0.05714285714285714
2010,hispanic,1,golden globes,0.014285714285714285
2010,white,65,golden globes,0.9285714285714286
2011,black,2,golden globes,0.02857142857142857
2011,hispanic,1,golden globes,0.014285714285714285
2011,other,1,golden globes,0.014285714285714285
2011,white,66,golden globes,0.9428571428571428
2012,black,4,golden globes,0.05714285714285714
2012,hispanic,1,golden globes,0.014285714285714285
2012,white,65,golden globes,0.9285714285714286
2013,asian,1,golden globes,0.014285714285714285
2013,black,2,golden globes,0.02857142857142857
2013,hispanic,1,golden globes,0.014285714285714285
2013,white,66,golden globes,0.9428571428571428
2014,asian,1,golden globes,0.014285714285714285
2014,black,8,golden globes,0.11428571428571428
2014,hispanic,2,golden globes,0.02857142857142857
2014,white,59,golden globes,0.8428571428571429
2015,black,3,golden globes,0.043478260869565216
2015,hispanic,1,golden globes,0.014492753623188406
2015,white,65,golden globes,0.9420289855072463
2016,asian,2,golden globes,0.028985507246376812
2016,black,8,golden globes,0.11594202898550725
2016,hispanic,3,golden globes,0.043478260869565216
2016,white,56,golden globes,0.8115942028985508
2017,asian,4,golden globes,0.056338028169014086
2017,black,10,golden globes,0.14084507042253522
2017,hispanic,2,golden globes,0.028169014084507043
2017,other,3,golden globes,0.04225352112676056
2017,white,52,golden globes,0.7323943661971831
2018,asian,2,golden globes,0.02857142857142857
2018,black,6,golden globes,0.08571428571428572
2018,other,1,golden globes,0.014285714285714285
2018,white,61,golden globes,0.8714285714285714
2019,asian,3,golden globes,0.04285714285714286
2019,black,5,golden globes,0.07142857142857142
2019,hispanic,3,golden globes,0.04285714285714286
2019,other,1,golden globes,0.014285714285714285
2019,white,58,golden globes,0.8285714285714286
2020,asian,2,golden globes,0.02857142857142857
2020,black,2,golden globes,0.02857142857142857
2020,hispanic,3,golden globes,0.04285714285714286
2020,white,63,golden globes,0.9
1962,white,1,sag,1.0
1963,white,1,sag,1.0
1965,white,1,sag,1.0
1966,white,1,sag,1.0
1967,white,1,sag,1.0
1968,white,1,sag,1.0
1969,white,1,sag,1.0
1970,white,1,sag,1.0
1971,white,1,sag,1.0
1972,white,1,sag,1.0
1973,white,1,sag,1.0
1974,white,1,sag,1.0
1975,white,1,sag,1.0
1976,black,1,sag,1.0
1977,white,1,sag,1.0
1978,white,1,sag,1.0
1979,white,1,sag,1.0
1980,white,1,sag,1.0
1982,white,1,sag,1.0
1983,white,1,sag,1.0
1984,black,1,sag,1.0
1985,white,2,sag,1.0
1986,white,1,sag,1.0
1987,white,1,sag,1.0
1988,white,1,sag,1.0
1989,white,1,sag,1.0
1990,black,1,sag,1.0
1991,white,1,sag,1.0
1992,white,1,sag,1.0
1993,hispanic,1,sag,1.0
1994,white,1,sag,1.0
1995,black,5,sag,0.09803921568627451
1995,hispanic,2,sag,0.0392156862745098
1995,white,44,sag,0.8627450980392157
1996,black,4,sag,0.0784313725490196
1996,hispanic,1,sag,0.0196078431372549
1996,white,46,sag,0.9019607843137255
1997,black,2,sag,0.0392156862745098
1997,hispanic,1,sag,0.0196078431372549
1997,other,1,sag,0.0196078431372549
1997,white,47,sag,0.9215686274509803
1998,black,5,sag,0.09615384615384616
1998,hispanic,1,sag,0.019230769230769232
1998,other,1,sag,0.019230769230769232
1998,white,45,sag,0.8653846153846154
1999,black,2,sag,0.038461538461538464
1999,hispanic,1,sag,0.019230769230769232
1999,other,1,sag,0.019230769230769232
1999,white,48,sag,0.9230769230769231
2000,asian,1,sag,0.0196078431372549
2000,black,3,sag,0.058823529411764705
2000,other,1,sag,0.0196078431372549
2000,white,46,sag,0.9019607843137255
2001,black,2,sag,0.03773584905660377
2001,hispanic,1,sag,0.018867924528301886
2001,white,50,sag,0.9433962264150944
2002,black,3,sag,0.057692307692307696
2002,other,3,sag,0.057692307692307696
2002,white,46,sag,0.8846153846153846
2003,asian,1,sag,0.0196078431372549
2003,black,2,sag,0.0392156862745098
2003,hispanic,1,sag,0.0196078431372549
2003,white,47,sag,0.9215686274509803
2004,asian,2,sag,0.038461538461538464
2004,black,2,sag,0.038461538461538464
2004,hispanic,1,sag,0.019230769230769232
2004,other,2,sag,0.038461538461538464
2004,white,45,sag,0.8653846153846154
2005,asian,1,sag,0.0196078431372549
2005,black,6,sag,0.11764705882352941
2005,other,2,sag,0.0392156862745098
2005,white,42,sag,0.8235294117647058
2006,asian,2,sag,0.0392156862745098
2006,black,4,sag,0.0784313725490196
2006,white,45,sag,0.8823529411764706
2007,asian,2,sag,0.038461538461538464
2007,black,6,sag,0.11538461538461539
2007,hispanic,3,sag,0.057692307692307696
2007,white,41,sag,0.7884615384615384
2008,asian,1,sag,0.019230769230769232
2008,black,3,sag,0.057692307692307696
2008,hispanic,2,sag,0.038461538461538464
2008,white,46,sag,0.8846153846153846
2009,asian,2,sag,0.0392156862745098
2009,black,4,sag,0.0784313725490196
2009,hispanic,2,sag,0.0392156862745098
2009,white,43,sag,0.8431372549019608
2010,asian,1,sag,0.019230769230769232
2010,black,5,sag,0.09615384615384616
2010,hispanic,1,sag,0.019230769230769232
2010,white,45,sag,0.8653846153846154
2011,hispanic,2,sag,0.0392156862745098
2011,white,49,sag,0.9607843137254902
2012,black,4,sag,0.0784313725490196
2012,hispanic,2,sag,0.0392156862745098
2012,white,45,sag,0.8823529411764706
2013,black,2,sag,0.0392156862745098
2013,hispanic,2,sag,0.0392156862745098
2013,white,47,sag,0.9215686274509803
2014,asian,1,sag,0.0196078431372549
2014,black,7,sag,0.13725490196078433
2014,hispanic,1,sag,0.0196078431372549
2014,white,42,sag,0.8235294117647058
2015,black,2,sag,0.038461538461538464
2015,white,50,sag,0.9615384615384616
2016,asian,2,sag,0.03278688524590164
2016,black,5,sag,0.08196721311475409
2016,other,1,sag,0.01639344262295082
2016,white,53,sag,0.8688524590163934
2017,asian,3,sag,0.06
2017,black,13,sag,0.26
2017,other,1,sag,0.02
2017,white,33,sag,0.66
2018,asian,2,sag,0.04
2018,black,5,sag,0.1
2018,white,43,sag,0.86
2019,asian,3,sag,0.06
2019,black,3,sag,0.06
2019,hispanic,2,sag,0.04
2019,white,42,sag,0.84
2020,asian,1,sag,0.02
2020,black,5,sag,0.1
2020,hispanic,1,sag,0.02
2020,white,43,sag,0.86
