year_ceremony,fixed_race,count,award,pct_race
1928,white,5,oscars,1.0
1929,white,17,oscars,1.0
1930,white,17,oscars,1.0
1931,white,15,oscars,1.0
1932,white,9,oscars,1.0
1933,white,9,oscars,1.0
1935,white,10,oscars,1.0
1936,asian,1,oscars,0.06666666666666667
1936,white,14,oscars,0.9333333333333333
1937,white,25,oscars,1.0
1938,white,25,oscars,1.0
1939,white,25,oscars,1.0
1940,black,1,oscars,0.04
1940,white,24,oscars,0.96
1941,white,25,oscars,1.0
1942,white,25,oscars,1.0
1943,white,25,oscars,1.0
1944,white,25,oscars,1.0
1945,white,25,oscars,1.0
1946,white,25,oscars,1.0
1947,white,25,oscars,1.0
1948,white,25,oscars,1.0
1949,white,25,oscars,1.0
1950,black,1,oscars,0.04
1950,white,24,oscars,0.96
1951,hispanic,1,oscars,0.04
1951,white,24,oscars,0.96
1952,white,25,oscars,1.0
1953,hispanic,1,oscars,0.04
1953,white,24,oscars,0.96
1954,white,25,oscars,1.0
1955,black,1,oscars,0.04
1955,hispanic,1,oscars,0.04
1955,white,23,oscars,0.92
1956,white,25,oscars,1.0
1957,asian,1,oscars,0.04
1957,white,24,oscars,0.96
1958,asian,2,oscars,0.08
1958,hispanic,1,oscars,0.04
1958,white,22,oscars,0.88
1959,black,1,oscars,0.04
1959,white,24,oscars,0.96
1960,black,1,oscars,0.04
1960,white,24,oscars,0.96
1961,white,25,oscars,1.0
1962,hispanic,1,oscars,0.04
1962,white,24,oscars,0.96
1963,other,1,oscars,0.04
1963,white,24,oscars,0.96
1964,black,1,oscars,0.04
1964,white,24,oscars,0.96
1965,hispanic,1,oscars,0.04
1965,white,24,oscars,0.96
1966,asian,1,oscars,0.04
1966,white,24,oscars,0.96
1967,asian,1,oscars,0.04
1967,black,1,oscars,0.04
1967,other,1,oscars,0.04
1967,white,22,oscars,0.88
1968,black,1,oscars,0.04
1968,white,24,oscars,0.96
1969,white,25,oscars,1.0
1970,black,1,oscars,0.04
1970,white,24,oscars,0.96
1971,black,1,oscars,0.04
1971,other,1,oscars,0.04
1971,white,23,oscars,0.92
1972,white,25,oscars,1.0
1973,black,3,oscars,0.12
1973,white,22,oscars,0.88
1974,white,25,oscars,1.0
1975,black,1,oscars,0.04
1975,white,24,oscars,0.96
1976,white,25,oscars,1.0
1977,white,25,oscars,1.0
1978,white,25,oscars,1.0
1979,white,25,oscars,1.0
1980,white,25,oscars,1.0
1981,white,25,oscars,1.0
1982,white,25,oscars,1.0
1983,asian,1,oscars,0.04
1983,black,1,oscars,0.04
1983,white,23,oscars,0.92
1984,black,1,oscars,0.04
1984,white,24,oscars,0.96
1985,asian,2,oscars,0.08
1985,black,1,oscars,0.04
1985,other,1,oscars,0.04
1985,white,21,oscars,0.84
1986,asian,1,oscars,0.04
1986,black,3,oscars,0.12
1986,hispanic,1,oscars,0.04
1986,white,20,oscars,0.8
1987,black,1,oscars,0.04
1987,white,24,oscars,0.96
1988,black,2,oscars,0.08
1988,hispanic,1,oscars,0.04
1988,white,22,oscars,0.88
1989,white,25,oscars,1.0
1990,black,2,oscars,0.08
1990,white,23,oscars,0.92
1991,black,1,oscars,0.04
1991,hispanic,1,oscars,0.04
1991,other,1,oscars,0.04
1991,white,22,oscars,0.88
1992,asian,1,oscars,0.04
1992,black,1,oscars,0.04
1992,white,23,oscars,0.92
1993,black,2,oscars,0.08
1993,white,23,oscars,0.92
1994,black,2,oscars,0.08
1994,white,23,oscars,0.92
1995,black,2,oscars,0.08
1995,white,23,oscars,0.92
1996,white,25,oscars,1.0
1997,black,2,oscars,0.08
1997,white,23,oscars,0.92
1998,white,25,oscars,1.0
1999,hispanic,1,oscars,0.04
1999,white,24,oscars,0.96
2000,asian,1,oscars,0.04
2000,black,2,oscars,0.08
2000,white,22,oscars,0.88
2001,asian,1,oscars,0.04
2001,hispanic,1,oscars,0.04
2001,white,23,oscars,0.92
2002,asian,1,oscars,0.04
2002,black,3,oscars,0.12
2002,white,21,oscars,0.84
2003,black,1,oscars,0.04
2003,hispanic,1,oscars,0.04
2003,white,23,oscars,0.92
2004,asian,2,oscars,0.08
2004,black,1,oscars,0.04
2004,hispanic,1,oscars,0.04
2004,other,2,oscars,0.08
2004,white,19,oscars,0.76
2005,black,5,oscars,0.2
2005,hispanic,1,oscars,0.04
2005,white,19,oscars,0.76
2006,asian,1,oscars,0.04
2006,black,1,oscars,0.04
2006,white,23,oscars,0.92
2007,asian,1,oscars,0.04
2007,black,5,oscars,0.2
2007,hispanic,2,oscars,0.08
2007,white,17,oscars,0.68
2008,black,1,oscars,0.04
2008,white,24,oscars,0.96
2009,black,2,oscars,0.08
2009,white,23,oscars,0.92
2010,black,4,oscars,0.16
2010,white,21,oscars,0.84
2011,white,25,oscars,1.0
2012,black,2,oscars,0.08
2012,hispanic,2,oscars,0.08
2012,white,21,oscars,0.84
2013,asian,1,oscars,0.04
2013,black,2,oscars,0.08
2013,white,22,oscars,0.88
2014,black,4,oscars,0.16
2014,hispanic,1,oscars,0.04
2014,white,20,oscars,0.8
2015,hispanic,1,oscars,0.04
2015,white,24,oscars,0.96
2016,white,25,oscars,1.0
2017,asian,1,oscars,0.04
2017,black,7,oscars,0.28
2017,white,17,oscars,0.68
2018,black,5,oscars,0.2
2018,hispanic,1,oscars,0.04
2018,white,19,oscars,0.76
2019,black,2,oscars,0.08
2019,hispanic,1,oscars,0.04
2019,other,1,oscars,0.04
2019,white,21,oscars,0.84
2020,asian,1,oscars,0.04
2020,black,1,oscars,0.04
2020,white,23,oscars,0.92
1944,white,4,golden globes,1.0
1945,white,4,golden globes,1.0
1946,white,4,golden globes,1.0
1947,white,4,golden globes,1.0
1948,white,6,golden globes,1.0
1949,white,4,golden globes,1.0
1950,hispanic,1,golden globes,0.08333333333333333
1950,white,11,golden globes,0.9166666666666666
1951,hispanic,1,golden globes,0.05555555555555555
1951,white,17,golden globes,0.9444444444444444
1952,white,16,golden globes,1.0
1953,hispanic,3,golden globes,0.125
1953,white,21,golden globes,0.875
1954,white,18,golden globes,1.0
1955,white,12,golden globes,1.0
1956,white,11,golden globes,1.0
1957,asian,1,golden globes,0.02631578947368421
1957,hispanic,2,golden globes,0.05263157894736842
1957,white,35,golden globes,0.9210526315789473
1958,asian,3,golden globes,0.08571428571428572
1958,white,32,golden globes,0.9142857142857143
1959,black,1,golden globes,0.023809523809523808
1959,hispanic,1,golden globes,0.023809523809523808
1959,other,1,golden globes,0.023809523809523808
1959,white,39,golden globes,0.9285714285714286
1960,asian,1,golden globes,0.023255813953488372
1960,black,4,golden globes,0.09302325581395349
1960,other,1,golden globes,0.023255813953488372
1960,white,37,golden globes,0.8604651162790697
1961,black,1,golden globes,0.023809523809523808
1961,hispanic,1,golden globes,0.023809523809523808
1961,other,2,golden globes,0.047619047619047616
1961,white,38,golden globes,0.9047619047619048
1962,asian,1,golden globes,0.025
1962,black,1,golden globes,0.025
1962,hispanic,1,golden globes,0.025
1962,white,37,golden globes,0.925
1963,asian,2,golden globes,0.029850746268656716
1963,black,2,golden globes,0.029850746268656716
1963,hispanic,2,golden globes,0.029850746268656716
1963,white,61,golden globes,0.9104477611940298
1964,black,4,golden globes,0.05555555555555555
1964,white,68,golden globes,0.9444444444444444
1965,hispanic,2,golden globes,0.043478260869565216
1965,other,1,golden globes,0.021739130434782608
1965,white,43,golden globes,0.9347826086956522
1966,asian,1,golden globes,0.02040816326530612
1966,black,1,golden globes,0.02040816326530612
1966,white,47,golden globes,0.9591836734693877
1967,asian,1,golden globes,0.0196078431372549
1967,black,1,golden globes,0.0196078431372549
1967,hispanic,2,golden globes,0.0392156862745098
1967,white,47,golden globes,0.9215686274509803
1968,asian,1,golden globes,0.018518518518518517
1968,black,3,golden globes,0.05555555555555555
1968,other,1,golden globes,0.018518518518518517
1968,white,49,golden globes,0.9074074074074074
1969,black,2,golden globes,0.0392156862745098
1969,other,1,golden globes,0.0196078431372549
1969,white,48,golden globes,0.9411764705882353
1970,black,2,golden globes,0.03125
1970,hispanic,2,golden globes,0.03125
1970,white,60,golden globes,0.9375
1971,asian,2,golden globes,0.028169014084507043
1971,black,5,golden globes,0.07042253521126761
1971,hispanic,1,golden globes,0.014084507042253521
1971,other,3,golden globes,0.04225352112676056
1971,white,60,golden globes,0.8450704225352113
1972,black,5,golden globes,0.07042253521126761
1972,white,66,golden globes,0.9295774647887324
1973,black,8,golden globes,0.1038961038961039
1973,hispanic,1,golden globes,0.012987012987012988
1973,white,68,golden globes,0.8831168831168831
1974,black,6,golden globes,0.08333333333333333
1974,other,1,golden globes,0.013888888888888888
1974,white,65,golden globes,0.9027777777777778
1975,black,7,golden globes,0.1
1975,white,63,golden globes,0.9
1976,black,3,golden globes,0.041666666666666664
1976,white,69,golden globes,0.9583333333333334
1977,black,4,golden globes,0.05128205128205128
1977,hispanic,2,golden globes,0.02564102564102564
1977,white,72,golden globes,0.9230769230769231
1978,black,2,golden globes,0.038461538461538464
1978,white,50,golden globes,0.9615384615384616
1979,white,74,golden globes,1.0
1980,hispanic,1,golden globes,0.013888888888888888
1980,white,71,golden globes,0.9861111111111112
1981,asian,1,golden globes,0.014285714285714285
1981,black,1,golden globes,0.014285714285714285
1981,white,68,golden globes,0.9714285714285714
1982,black,1,golden globes,0.0136986301369863
1982,other,1,golden globes,0.0136986301369863
1982,white,71,golden globes,0.9726027397260274
1983,black,6,golden globes,0.07058823529411765
1983,hispanic,2,golden globes,0.023529411764705882
1983,other,2,golden globes,0.023529411764705882
1983,white,75,golden globes,0.8823529411764706
1984,black,5,golden globes,0.06756756756756757
1984,hispanic,1,golden globes,0.013513513513513514
1984,other,1,golden globes,0.013513513513513514
1984,white,67,golden globes,0.9054054054054054
1985,asian,3,golden globes,0.039473684210526314
1985,black,10,golden globes,0.13157894736842105
1985,white,63,golden globes,0.8289473684210527
1986,asian,2,golden globes,0.02702702702702703
1986,black,4,golden globes,0.05405405405405406
1986,hispanic,2,golden globes,0.02702702702702703
1986,other,3,golden globes,0.04054054054054054
1986,white,63,golden globes,0.8513513513513513
1987,black,3,golden globes,0.041666666666666664
1987,white,69,golden globes,0.9583333333333334
1988,asian,1,golden globes,0.013333333333333334
1988,black,2,golden globes,0.02666666666666667
1988,hispanic,1,golden globes,0.013333333333333334
1988,white,71,golden globes,0.9466666666666667
1989,black,2,golden globes,0.0273972602739726
1989,hispanic,3,golden globes,0.0410958904109589
1989,other,2,golden globes,0.0273972602739726
1989,white,66,golden globes,0.9041095890410958
1990,black,2,golden globes,0.028169014084507043
1990,other,1,golden globes,0.014084507042253521
1990,white,68,golden globes,0.9577464788732394
1991,black,3,golden globes,0.04054054054054054
1991,hispanic,4,golden globes,0.05405405405405406
1991,white,67,golden globes,0.9054054054054054
1992,black,4,golden globes,0.0547945205479452
1992,hispanic,2,golden globes,0.0273972602739726
1992,other,1,golden globes,0.0136986301369863
1992,white,66,golden globes,0.9041095890410958
1993,black,5,golden globes,0.06756756756756757
1993,white,69,golden globes,0.9324324324324325
1994,black,2,golden globes,0.02857142857142857
1994,hispanic,1,golden globes,0.014285714285714285
1994,white,67,golden globes,0.9571428571428572
1995,black,4,golden globes,0.05333333333333334
1995,hispanic,3,golden globes,0.04
