year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Mrs. Brown,True,white,white
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Helena Bonham Carter,"Wings of the Dove, The",False,white,white
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,Contact,False,unknown,unknown
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,A Thousand Acres,False,unknown,unknown
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Titanic,False,white,white
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Peter Fonda,Ulee's Gold,True,white,white
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Matt Damon,Good Will Hunting,False,white,white
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,"Boxer, The",False,unknown,unknown
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Titanic,False,unknown,unknown
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Djimon Hounsou,Amistad,False,unknown,unknown
1997,1998,55,Best Director - Motion Picture,James Cameron,Titanic,True,white,white
1997,1998,55,Best Director - Motion Picture,Steven Spielberg,Amistad,False,unknown,unknown
1997,1998,55,Best Director - Motion Picture,James L. Brooks,As Good as It Gets,False,unknown,unknown
1997,1998,55,Best Director - Motion Picture,Curtis Hanson,L.A. Confidential,False,white,white
1997,1998,55,Best Director - Motion Picture,Jim Sheridan,"Boxer, The",False,unknown,unknown
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Angelina Jolie,George Wallace,True,unknown,unknown
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joely Fisher,Ellen,False,unknown,unknown
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Della Reese,Touched By an Angel,False,unknown,unknown
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gloria Reuben,ER,False,unknown,unknown
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Mare Winningham,George Wallace,False,unknown,unknown
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",George C. Scott,12 Angry Men (TV-1997),True,unknown,unknown
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jason Alexander,Seinfeld,False,unknown,unknown
