,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
832,4837,2000 - 6th Annual,FEMALE LEAD ROLE,ANNETTE BENING,AMERICAN BEAUTY,True,True,White
833,2464,2011 - 17th Annual,FEMALE SUPPORTING ROLE,MILA KUNIS,BLACK SWAN,False,True,White
834,2466,2011 - 17th Annual,FEMALE SUPPORTING ROLE,MELISSA LEO,THE FIGHTER,True,True,White
835,2946,2009 - 15th Annual,FEMALE LEAD ROLE,MELISSA LEO,FROZEN RIVER,False,True,White
836,2468,2011 - 17th Annual,FEMALE SUPPORTING ROLE,HAILEE STEINFELD,TRUE GRIT,False,True,White
837,2471,2011 - 17th Annual,FEMALE TV MOVIE OR MINISERIES,JULIA ORMOND,TEMPLE GRANDIN,False,True,White
838,2474,2011 - 17th Annual,LIFE ACHIEVEMENT,ERNEST BORGNINE,,True,True,White
839,2476,2011 - 17th Annual,MALE COMEDY SERIES,CHRIS COLFER,GLEE,False,True,White
840,2477,2011 - 17th Annual,MALE COMEDY SERIES,ED O'NEILL,MODERN FAMILY,False,True,White
841,2483,2011 - 17th Annual,MALE DRAMA SERIES,HUGH LAURIE,HOUSE,False,True,White
842,2722,2010 - 16th Annual,MALE DRAMA SERIES,HUGH LAURIE,HOUSE,False,True,White
843,2968,2009 - 15th Annual,MALE DRAMA SERIES,HUGH LAURIE,HOUSE,True,True,White
844,3233,2008 - 14th Annual,MALE DRAMA SERIES,HUGH LAURIE,HOUSE,False,True,White
845,3495,2007 - 13th Annual,MALE DRAMA SERIES,HUGH LAURIE,HOUSE,True,True,White
846,3725,2006 - 12th Annual,MALE DRAMA SERIES,HUGH LAURIE,HOUSE,False,True,White
847,2487,2011 - 17th Annual,MALE LEAD ROLE,COLIN FIRTH,THE KING'S SPEECH,True,True,White
848,2725,2010 - 16th Annual,MALE LEAD ROLE,COLIN FIRTH,A SINGLE MAN,False,True,White
849,2488,2011 - 17th Annual,MALE LEAD ROLE,JESSE EISENBERG,THE SOCIAL NETWORK,False,True,White
850,2493,2011 - 17th Annual,MALE SUPPORTING ROLE,JEREMY RENNER,THE TOWN,False,True,White
851,2728,2010 - 16th Annual,MALE LEAD ROLE,JEREMY RENNER,THE HURT LOCKER,False,True,White
852,2495,2011 - 17th Annual,MALE TV MOVIE OR MINISERIES,EDGAR RAMIREZ,CARLOS,False,True,Hispanic
